Cuenca;Cuerpo de Agua;Codigo;Fase;An/O INICIO;An/O FINAL;Responsable del muestreo;Clase: Indice Holandes;Clase: Indice BMWP-CR;Clasificacion del tramo del CA;geometry;Longitud (CRTM05);Latitud (CRTM05);Sitio de Muestreo;Provincia;Canton;Distrito;Mes;Año;Régimen_de_lluvia;Indice_Holandés;Interpretacion_I_Holandés;Indice_Biológico;Interpretacion_I_Biológico;ESTADO ACTUAL;;;;;;;;;;;;;
Sixaola;Rio Sixaola;C-SIX-01;II;2016;2017;TEC;1;3;3;c(624974,128095, 1062379,17001);624974;1062379;Rio Rocoso;Limon;Talamanca;Bratsi;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Sixaola;Rio Sixaola;C-SIX-02;II;2016;2017;TEC;2;3;3;c(624971,398124, 1060351,15711);624971;1060351;Sand Box;Limon;Talamanca;Bratsi;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Sixaola;Rio Sixaola;C-SIX-03;II;2016;2017;TEC;2;5;5;c(652225,831052, 1050611,64725);652226;1050612;Puente Limitrofe;Limon;Talamanca;Sixaola;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Tarcoles;Rio Virilla;PC-TAR-01;I;2015;2016;UNA;1;1;1;c(505940, 1104290);505940;1104290;Las Nubes;San Jose;Vasquez de Coronado;Cascajal;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Tarcoles;Rio Virilla;PC-TAR-02;I;2015;2016;UNA;1;2;2;c(499343, 1103594);499343;1103594;Toma del AyA;San Jose;Vasquez de Coronado;San Isidro;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Tarcoles;Rio Virilla;PC-TAR-03;I;2015;2016;UNA;2;4;4;c(491495, 1102221);491495;1102221;Tibas-Estadio Saprissa;San Jose;Tibas;San Juan;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Tarcoles;Rio Virilla;PC-TAR-04;I;2015;2016;UNA;4;4;4;c(480338, 1102283);480338;1102283;Pedregal;San Rafael;Escazu;San Jose;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Tarcoles;Rio Virilla;PC-TAR-05;I;2015;2016;UNA;3;5;5;c(470780, 1098167);470780;1098167;Por la Guacima;Guacima;Alajuela;Alajuela;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
Tarcoles;Rio Tarcoles;PC-TAR-06;I;2015;2016;UNA;3;3;3;c(450165, 1097109);450165;1097109;Hidrotarcoles;Escobal;Atenas;Alajuela;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Tarcoles;Rio Grande ;PC-TAR-07;I;2015;2016;UNA;2;1;2;c(461417, 1102524);461417;1102524;El Tajo;Alajuela;Atenas;Concepcion;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Tarcoles;Rio Tarcoles;PC-TAR-08;I;2015;2016;UNA;2;3;3;c(442305, 1092780);442305;1092780;Tajo Traesa;Alajuela;Orotina;Orotina;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Tempisque;Tempisquito;PN-TEM-01;III;2017;2018;UNA;3;2;3;c(331594, 1196861);331594;1196861;Hacienda Potrerillos;Guanacaste;Liberia;Liberia;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Tempisque;Ahogados;PN-TEM-02;III;2017;2018;UNA;3;1;3;c(341394, 1198407);341394;1198407;Finca San Emilio;Guanacaste;Liberia;Liberia;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Tempisque;Colorado;PN-TEM-03;III;2017;2018;UNA;2;2;2;c(329305, 1176957);329305;1176957;Potrerillos;Guanacaste;Liberia;Liberia;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Tempisque;Liberia;PN-TEM-04;III;2017;2018;UNA;2;1;2;c(344627, 1176883);344627;1176883;Moracia;Guanacaste;Liberia;Liberia;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Tempisque;Tempisque;PN-TEM-05;III;2017;2018;UNA;2;3;3;c(328127, 1160366);328127;1160366;Paso Tempisque;Guanacaste;Carrillo;Filadelfia;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Tempisque;Tempisque;PN-TEM-06;III;2017;2018;UNA;2;3;3;c(331385, 1154818);331385;1154818;Finca La Providencia;Guanacaste;Carrillo;Filadelfia;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
Tempisque;Tempisque;PN-TEM-07;III;2017;2018;UNA;2;3;3;c(346688, 1148109);346688;1148109;Paso Coyol;Guanacaste;Santa Cruz;Bolson;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Tempisque;Bolson;PN-TEM-08;III;2017;2018;UNA;4;3;4;c(340111, 1147032);340111;1147032;Paso Camaronal;Guanacaste;Santa Cruz;Bolson;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Tempisque;Diria;PN-TEM-09;III;2017;2018;UNA;1;2;2;c(325936, 1135312);325936;1135312;Santa Cruz;Guanacaste;Santa Cruz;Diria;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Tempisque;Can/as;PN-TEM-10;III;2017;2018;UNA;4;4;4;c(328051, 1144877);328051;1144877;Rio Can/as Viejo;Guanacaste;Santa Cruz;Diria;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Tempisque;Can/as;PN-TEM-11;III;2017;2018;UNA;3;3;3;c(318168, 1140501);318168;1140501;Las Playas;Guanacaste;Santa Cruz;Diria;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Tortuguero;Rio Tortuguero;C-TOR-01;II;2016;2017;UCR;2;1;2;c(520825,422259438, 1130420,88079227);520825;1130421;Colonia;Limon;Pococi;Guapiles;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Tortuguero;Rio San Rafael;C-TOR-02;II;2016;2017;UCR;2;1;2;c(521255,62175537, 1128763,54850037);521256;1128764;San Rafael;Limon;Pococi;Guapiles;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Tortuguero;Quebrada Bejuco;C-TOR-03;II;2016;2017;UCR;2;1;2;c(523998,055643953, 1137805,96375966);523998;1137806;Rio Tortuguero, Quebrada Bejuco, Peligro;Limon;Pococi;Rita;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Tortuguero;Rio Tortuguero;C-TOR-04;II;2016;2017;UCR;2;2;2;c(534432,409083334, 1147242,26689812);534432;1147242;"Bananera Cariari; Campo Cinco";Limon;Pococi;Cariari;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
Tortuguero;Rio Tortuguero;C-TOR-05;II;2016;2017;UCR;2;1;2;c(536063,470439589, 1149276,41992381);536063;1149276;Las Vegas de Tortuguero;Limon;Pococi;Cariari;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Tusubres;Rio Agujas;PC-TUS-01;I;2015;2016;TEC;2;2;2;c(430273,243809, 1074424,88546);430273;1074425;Playa Hermosa;Puntarenas;Garabito;Tarcoles;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Tusubres;Rio Copey;PC-TUS-02;I;2015;2016;TEC;3;4;4;c(431757,387079, 1064259,12388);431757;1064259;Barrio El Copey;Puntarenas;Garabito;Jaco;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Tusubres;Rio Turrubaritos;PC-TUS-03;I;2015;2016;TEC;3;3;3;c(442810,119445, 1064762,9663);442810;1064763;Montelimar;Alajuela;Turrubares;Carara;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Tusubres;Rio Tulin;PC-TUS-04;I;2015;2016;TEC;2;2;2;c(446879,247857, 1064096,47894);446879;1064096;Bajo Vega;San Jose;Puriscal;Chires;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
Tusubres;Rio Tulin;PC-TUS-05;I;2015;2016;TEC;2;2;2;c(442562,972023, 1058628,18446);442563;1058628;Fila San Julian;Puntarenas;Parrita;Parrita;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Tusubres;Rio Tusubres;PC-TUS-06;I;2015;2016;TEC;3;2;3;c(441800,765476, 1058696,93795);441801;1058697;Tusubres;Puntarenas;Parrita;Parrita;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Tusubres;Rio Tulin;PC-TUS-07;I;2015;2016;TEC;2;1;2;c(454785,456652, 1059634,61586);454785;1059635;Guapinol;San Jose;Puriscal;Chires;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
Tusubres;Rio Chires;PC-TUS-08;I;2015;2016;TEC;1;2;2;c(458077,777731, 1069925,53438);458078;1069926;Mastatal;San Jose;Puriscal;Chires;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
